,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,lagoa,39.05,-27.98,61.0,66,16,10.56,PT,1592975454
261,kailua,21.4,-157.74,80.6,61,90,10.29,US,1592975563
262,fougamou,-1.22,10.58,70.03,91,87,1.48,GA,1592975663
263,new iberia,30.0,-91.82,73.4,100,1,3.62,US,1592975663
264,nishihara,26.18,127.76,87.8,66,75,4.7,JP,1592975451
265,san quintin,30.48,-115.95,63.52,88,85,10.85,MX,1592975464
266,cockburn town,21.46,-71.14,82.33,83,0,17.25,TC,1592975663
267,nueve de julio,-35.44,-60.88,52.0,86,100,4.0,AR,1592975453
268,hualmay,-11.1,-77.61,61.0,87,88,4.74,PE,1592975464
269,hastings,50.86,0.57,66.0,73,23,1.99,GB,1592975664
270,kalmunai,7.42,81.82,86.86,61,98,4.99,LK,1592975441
271,farafangana,-22.82,47.83,68.7,83,93,6.55,MG,1592975664
272,cap-aux-meules,47.38,-61.86,60.01,94,0,18.05,CA,1592975664
273,guanambi,-14.22,-42.78,65.84,78,0,12.82,BR,1592975664
274,sao felix do xingu,-6.64,-51.99,67.33,85,1,1.07,BR,1592975664
275,villa carlos paz,-31.42,-64.5,51.01,87,75,5.82,AR,1592975664
276,tommot,58.96,126.29,74.34,40,92,3.31,RU,1592975664
277,columbus,39.96,-83.0,64.99,77,1,4.7,US,1592975525
278,mazeikiai,56.32,22.33,62.8,76,91,4.92,LT,1592975664
279,puerto leguizamo,-0.19,-74.78,70.16,98,5,1.54,CO,1592975664
280,normandin,48.83,-72.53,69.8,94,90,9.17,CA,1592975665
281,diffa,13.32,12.61,83.95,34,0,8.01,NE,1592975489
282,mount gambier,-37.83,140.77,55.4,87,90,8.05,AU,1592975441
283,verkhniy uslon,55.77,48.98,62.6,67,96,11.18,RU,1592975665
284,tashara,55.52,83.51,72.91,68,87,6.4,RU,1592975665
285,umm kaddadah,13.6,26.69,86.88,40,11,13.04,SD,1592975665
286,tasiilaq,65.61,-37.64,42.8,87,100,1.12,GL,1592975442
287,pasni,25.26,63.47,86.77,69,0,5.91,PK,1592975465
288,nanortalik,60.14,-45.24,40.12,78,61,4.76,GL,1592975448
289,marathon,24.71,-81.09,84.2,83,1,4.7,US,1592975665
290,mae ramat,16.98,98.52,86.0,70,75,6.93,TH,1592975665
291,cocorit,27.58,-109.97,81.25,52,1,6.22,MX,1592975665
292,longkou,37.65,120.33,71.15,83,82,20.24,CN,1592975665
293,ahipara,-35.17,173.17,57.87,88,92,16.8,NZ,1592975666
294,ponte de sor,39.25,-8.01,62.01,100,30,6.26,PT,1592975666
295,kota belud,6.35,116.43,87.8,79,20,6.93,MY,1592975666
296,mataram,-8.58,116.12,86.0,55,20,18.34,ID,1592975666
297,aklavik,68.22,-135.01,42.8,75,90,5.82,CA,1592975457
298,monrovia,6.3,-10.8,76.51,87,88,5.91,LR,1592975666
299,maneadero,31.72,-116.57,64.99,89,98,3.0,MX,1592975666
300,lixourion,38.2,20.43,70.07,78,29,3.94,GR,1592975666
301,maceio,-9.67,-35.74,69.8,100,20,3.36,BR,1592975666
302,puerto escondido,15.85,-97.07,80.6,76,100,5.73,MX,1592975666
303,tahta,26.77,31.5,82.4,23,0,10.29,EG,1592975666
304,coihaique,-45.58,-72.07,28.4,92,32,5.82,CL,1592975447
305,kahului,20.89,-156.47,80.6,57,20,17.22,US,1592975666
306,aasiaat,68.71,-52.87,36.52,90,99,6.62,GL,1592975666
307,nouadhibou,20.93,-17.03,68.43,81,0,20.96,MR,1592975586
308,larkana,27.56,68.21,96.8,53,0,9.17,PK,1592975666
309,manicore,-5.81,-61.3,75.2,94,34,0.92,BR,1592975397
310,praia da vitoria,38.73,-27.07,60.8,77,20,11.32,PT,1592975472
311,mayo,38.89,-76.51,80.6,69,1,5.82,US,1592975666
312,richards bay,-28.78,32.04,57.58,67,0,6.91,ZA,1592975667
313,itaquitinga,-7.67,-35.1,78.8,78,40,12.75,BR,1592975667
314,buin,-33.73,-70.75,48.2,81,100,9.17,CL,1592975667
315,koster,-25.86,26.9,41.18,60,0,5.86,ZA,1592975667
316,dubna,56.73,37.17,65.44,69,10,5.75,RU,1592975667
317,lubao,14.92,120.55,91.4,63,75,2.24,PH,1592975668
318,berlevag,70.86,29.09,50.0,81,5,17.22,NO,1592975462
319,kundiawa,-6.02,144.97,73.62,70,35,1.3,PG,1592975668
320,wernigerode,51.83,10.78,64.99,69,0,1.68,DE,1592975668
321,winnemucca,40.97,-117.74,78.8,19,1,5.82,US,1592975538
322,rorvik,64.86,11.24,60.8,82,84,8.05,NO,1592975668
323,hammerfest,70.66,23.68,48.2,100,90,12.75,NO,1592975668
324,labuhan,-6.88,112.21,85.41,61,85,3.42,ID,1592975457
325,husavik,66.04,-17.34,44.6,93,100,9.17,IS,1592975443
326,hambantota,6.12,81.12,89.6,66,20,13.87,LK,1592975668
327,sechura,-5.56,-80.82,64.96,81,8,11.92,PE,1592975462
328,nianzishan,47.52,122.88,70.0,72,87,11.36,CN,1592975668
329,fairbanks,64.84,-147.72,57.2,87,90,5.82,US,1592975669
330,birao,10.28,22.79,77.5,72,100,3.49,CF,1592975669
331,santa marta,11.24,-74.2,79.0,87,18,17.11,CO,1592975669
332,srednekolymsk,67.45,153.68,72.57,21,0,9.46,RU,1592975470
333,alegrete,-29.78,-55.79,66.69,72,13,12.75,BR,1592975669
334,amahai,-3.33,128.92,84.0,94,66,1.01,ID,1592975669
335,ayan,56.45,138.17,45.5,91,93,7.29,RU,1592975467
336,auki,-8.77,160.7,84.54,65,4,3.65,SB,1592975452
337,kununurra,-15.77,128.73,84.2,19,0,9.17,AU,1592975458
338,tawang,27.58,91.87,69.26,58,82,5.1,IN,1592975669
339,hashtrud,37.48,47.05,71.87,32,0,7.29,IR,1592975669
340,homer,59.64,-151.55,55.99,71,90,3.36,US,1592975670
341,tomatlan,19.93,-105.25,79.0,82,0,1.07,MX,1592975670
342,winslow,35.02,-110.7,84.2,12,1,11.41,US,1592975670
343,berdigestyakh,62.1,126.7,78.39,32,56,9.55,RU,1592975470
344,kupang,-10.17,123.58,89.6,46,40,14.99,ID,1592975457
345,saint-joseph,-21.37,55.62,73.4,73,75,4.7,RE,1592975670
346,bhainsdehi,21.65,77.63,82.8,66,51,6.35,IN,1592975670
347,tezu,27.92,96.17,78.98,80,98,3.31,IN,1592975465
348,chincha alta,-13.41,-76.13,62.6,88,90,2.24,PE,1592975670
349,zhaotong,27.32,103.72,60.96,93,100,2.13,CN,1592975399
350,yeniseysk,58.45,92.17,83.88,37,48,2.37,RU,1592975670
351,kongolo,-5.38,27.0,69.22,58,0,3.58,CD,1592975670
352,abrau-dyurso,44.69,37.59,77.0,78,40,8.95,RU,1592975670
353,zamora,-4.07,-78.96,64.02,72,24,2.35,EC,1592975670
354,upernavik,72.79,-56.15,32.76,96,72,7.56,GL,1592975442
355,corsicana,32.1,-96.47,72.0,95,100,1.99,US,1592975671
356,faanui,-16.48,-151.75,79.11,84,98,15.86,PF,1592975455
357,okhotsk,59.38,143.3,50.61,78,38,13.65,RU,1592975671
358,hamilton,43.23,-79.95,64.4,68,90,25.28,CA,1592975456
359,qasigiannguit,68.82,-51.19,39.2,86,95,3.36,GL,1592975671
360,mashhad,36.3,59.61,86.0,9,0,6.93,IR,1592975492
361,kasempa,-13.46,25.83,47.7,94,0,5.21,ZM,1592975671
362,santa isabel do rio negro,-0.41,-65.02,73.09,94,95,1.25,BR,1592975460
363,energetik,51.74,58.79,70.27,42,90,10.33,RU,1592975394
364,shache,38.42,77.24,92.32,11,47,19.24,CN,1592975671
365,buchanan,5.88,-10.05,76.62,88,94,8.21,LR,1592975462
366,diamantino,-14.41,-56.45,67.46,52,60,6.17,BR,1592975671
367,torbay,47.67,-52.73,66.2,93,75,25.28,CA,1592975449
368,el alto,-4.27,-81.21,65.41,84,10,15.82,PE,1592975469
369,leh,34.17,77.58,61.95,31,0,6.91,IN,1592975458
370,ketchikan,55.34,-131.65,55.4,76,1,6.93,US,1592975315
371,tuy hoa,13.08,109.3,93.65,53,95,6.06,VN,1592975469
372,olimpia,-20.74,-48.91,66.2,42,92,2.24,BR,1592975671
373,vakhrushev,48.98,142.97,47.97,92,100,5.19,RU,1592975672
374,teknaf,20.86,92.31,87.91,68,91,4.97,BD,1592975672
375,taki,22.59,88.92,93.2,79,40,11.41,IN,1592975506
376,vanimo,-2.67,141.3,85.33,71,76,7.18,PG,1592975455
377,porto velho,-8.76,-63.9,73.4,94,20,1.3,BR,1592975672
378,kushima,31.46,131.23,86.0,78,75,12.75,JP,1592975672
379,beloha,-25.17,45.05,63.61,78,0,9.89,MG,1592975453
380,tura,25.52,90.22,85.78,70,50,6.24,IN,1592975446
381,mae sai,20.43,99.88,87.01,74,40,8.05,TH,1592975672
382,kavaratti,10.57,72.64,82.4,83,90,5.82,IN,1592975455
383,pacific grove,36.62,-121.92,59.0,93,90,4.7,US,1592975220
384,barra,-11.09,-43.14,70.72,65,1,9.17,BR,1592975672
385,yantal,56.85,105.25,80.56,32,67,3.51,RU,1592975459
386,coquimbo,-29.95,-71.34,53.6,93,90,3.36,CL,1592975447
387,ballina,-28.87,153.57,68.0,45,0,8.05,AU,1592975673
388,lasem,-6.69,111.45,87.62,59,89,9.08,ID,1592975673
389,hay river,60.82,-115.8,64.4,52,75,3.36,CA,1592975673
390,belle fourche,44.67,-103.85,66.0,57,30,8.43,US,1592975534
391,guanica,17.97,-66.91,82.0,77,2,4.09,PR,1592975673
392,korla,41.76,86.15,88.66,16,98,19.71,CN,1592975464
393,suluq,31.67,20.25,69.26,65,0,3.65,LY,1592975673
394,altamirano,16.88,-92.15,57.72,100,100,1.95,MX,1592975673
395,morondava,-20.28,44.28,73.38,61,14,2.3,MG,1592975673
396,kenai,60.55,-151.26,51.8,81,75,5.82,US,1592975181
397,yendi,9.44,-0.01,74.52,86,1,6.55,GH,1592975673
398,flin flon,54.77,-101.86,63.05,49,77,5.39,CA,1592975455
399,nantucket,41.28,-70.1,64.4,93,90,5.82,US,1592975453
400,cianorte,-23.66,-52.6,57.67,88,0,7.23,BR,1592975673
401,kattivakkam,13.22,80.32,93.2,56,90,5.82,IN,1592975673
402,qaqortoq,60.72,-46.03,46.4,75,39,1.12,GL,1592975457
403,carolina,18.38,-65.96,82.4,78,40,10.29,PR,1592975673
404,huarmey,-10.07,-78.15,60.98,89,88,5.08,PE,1592975456
405,sorland,67.67,12.69,53.6,66,75,6.93,NO,1592975465
406,vardo,70.37,31.11,50.0,66,1,5.82,NO,1592975453
407,viedma,-40.81,-63.0,47.23,65,15,13.53,AR,1592975673
408,bandarban,22.2,92.23,89.6,79,75,9.17,BD,1592975674
409,svetlogorsk,52.63,29.73,63.45,88,3,9.1,BY,1592975674
410,novoagansk,61.94,76.66,63.21,46,41,5.86,RU,1592975674
411,walvis bay,-22.96,14.51,69.8,21,0,10.29,NA,1592975674
412,kent,51.17,0.67,60.01,91,25,6.06,GB,1592975674
413,manzhouli,49.6,117.43,72.27,44,35,13.94,CN,1592975451
414,san policarpo,12.18,125.51,86.04,71,100,8.63,PH,1592975674
415,ormara,25.21,64.64,86.9,70,0,7.76,PK,1592975674
416,hobyo,5.35,48.53,82.13,68,0,24.9,SO,1592975674
417,tacuarembo,-31.73,-55.98,68.58,71,100,7.14,UY,1592975674
418,daru,-9.08,143.21,81.28,78,51,14.61,PG,1592975674
419,piacabucu,-10.41,-36.43,73.72,84,35,7.65,BR,1592975674
420,ambilobe,-13.2,49.05,74.17,67,0,2.86,MG,1592975674
421,gao,16.27,-0.04,91.92,21,0,6.91,ML,1592975675
422,mercedes,-34.65,-59.43,54.0,87,100,3.0,AR,1592975675
423,petropavlovsk-kamchatskiy,53.05,158.65,75.2,36,20,13.42,RU,1592975675
424,ajdabiya,30.76,20.23,68.74,63,0,5.93,LY,1592975454
425,finale emilia,44.83,11.29,73.0,70,0,5.01,IT,1592975675
426,mandera,3.94,41.87,81.61,62,26,19.62,KE,1592975675
427,shelburne,44.08,-80.2,62.6,82,90,12.75,CA,1592975675
428,whyalla,-33.03,137.58,62.6,45,0,10.29,AU,1592975675
429,tra vinh,9.93,106.35,91.2,59,76,3.91,VN,1592975675
430,cortez,37.35,-108.59,66.99,24,1,6.93,US,1592975462
431,riberalta,-10.98,-66.1,75.43,77,63,2.82,BO,1592975675
432,tefe,-3.35,-64.71,72.84,96,24,1.92,BR,1592975675
433,gravdal,68.12,13.5,53.6,66,75,6.93,NO,1592975675
434,mareeba,-17.0,145.43,78.8,57,21,14.99,AU,1592975675
435,dillon,34.42,-79.37,71.01,100,1,4.7,US,1592975455
436,buncrana,55.13,-7.45,51.85,95,100,5.3,IE,1592975676
437,rundu,-17.93,19.77,43.23,60,0,5.86,NA,1592975510
438,anadyr,64.75,177.48,46.4,75,40,15.66,RU,1592975676
439,duluth,46.78,-92.11,64.4,68,1,9.17,US,1592975663
440,chapais,49.78,-74.85,64.4,100,90,6.93,CA,1592975457
441,gamba,-2.65,10.0,70.99,91,62,3.09,GA,1592975463
442,rajanpur,29.1,70.33,109.94,21,0,15.97,PK,1592975676
443,aguimes,27.91,-15.45,71.6,68,75,21.92,ES,1592975676
444,sokolo,14.73,-6.12,88.03,38,76,7.11,ML,1592975676
445,asmar,35.03,71.36,78.75,52,76,1.7,AF,1592975676
446,christchurch,-43.53,172.63,48.99,87,100,6.93,NZ,1592975594
447,graham,47.05,-122.29,69.01,88,1,1.05,US,1592975676
448,axim,4.87,-2.24,76.57,86,96,5.91,GH,1592975448
449,merrill,45.18,-89.68,55.4,100,1,3.33,US,1592975499
450,mangrol,21.12,70.12,87.15,72,44,9.24,IN,1592975676
451,san juan bautista,-14.01,-75.74,62.6,88,90,2.24,PE,1592975676
452,pangkalanbuun,-2.68,111.62,84.56,76,73,4.25,ID,1592975677
453,beyla,8.68,-8.63,67.26,97,61,3.44,GN,1592975677
454,gold coast,-28.0,153.43,70.0,42,0,9.17,AU,1592975677
455,uinskoye,56.88,56.58,57.33,91,95,11.63,RU,1592975677
456,sauteurs,12.22,-61.63,80.6,83,20,11.41,GD,1592975677
457,west wendover,40.74,-114.07,77.0,21,1,6.93,US,1592975677
458,vercheres,45.78,-73.35,73.99,97,100,7.49,CA,1592975677
459,hays,38.88,-99.33,70.0,77,1,3.36,US,1592975551
460,sorong,-0.88,131.25,83.66,77,96,7.54,ID,1592975449
461,barcelos,41.54,-8.62,62.01,100,75,3.36,PT,1592975677
462,gambiran,-6.8,111.5,88.07,57,87,9.73,ID,1592975677
463,makokou,0.57,12.86,68.95,94,73,2.28,GA,1592975677
464,togur,58.36,82.83,70.43,61,46,4.65,RU,1592975677
465,fukuma,33.77,130.47,95.0,43,40,10.29,JP,1592975679
466,beboto,8.27,16.94,73.63,84,100,5.93,TD,1592975679
467,batemans bay,-35.72,150.18,64.99,59,44,1.99,AU,1592975679
468,komsomolskiy,40.43,71.72,84.2,20,40,16.11,UZ,1592975442
469,grimsby,53.57,-0.08,63.0,67,31,8.05,GB,1592975567
470,saint-francois,46.42,3.91,66.99,87,22,3.89,FR,1592975467
471,cabedelo,-6.98,-34.83,75.79,82,16,15.75,BR,1592975679
472,shiyan,32.65,110.78,84.0,15,0,4.16,CN,1592975679
473,kisangani,0.52,25.2,71.42,91,95,1.68,CD,1592975680
474,saquena,-4.67,-73.52,71.2,98,93,1.66,PE,1592975680
475,lampa,-33.28,-70.9,48.2,81,83,9.17,CL,1592975680
476,logansport,40.75,-86.36,63.0,82,1,7.56,US,1592975680
477,gwadar,25.12,62.33,87.1,68,0,5.21,PK,1592975680
478,gigmoto,13.78,124.39,87.69,64,99,8.57,PH,1592975680
479,bhagwantnagar,26.23,80.75,84.2,83,90,4.7,IN,1592975680
480,vuktyl,63.86,57.31,46.04,70,97,11.63,RU,1592975463
481,gavle,60.67,17.14,78.01,48,0,3.0,SE,1592975680
482,les cayes,18.2,-73.75,78.66,88,20,2.57,HT,1592975680
483,clarence town,-32.58,151.78,62.6,48,40,20.8,AU,1592975680
484,iracoubo,5.48,-53.2,77.11,88,100,5.28,GF,1592975464
485,auray,47.67,-2.99,66.0,72,0,6.93,FR,1592975680
486,karpathos,35.51,27.21,73.4,73,20,12.75,GR,1592975680
487,san cristobal,7.77,-72.22,64.09,71,33,2.8,VE,1592975455
488,neepawa,50.23,-99.47,59.0,72,20,5.82,CA,1592975680
489,toamasina,-18.17,49.38,66.2,93,20,3.94,MG,1592975680
490,victoria point,-27.58,153.3,70.0,47,0,3.0,AU,1592975681
491,nokaneng,-19.67,22.27,44.87,58,0,6.42,BW,1592975681
492,high level,58.52,-117.14,68.0,40,20,3.36,CA,1592975284
493,pinczow,50.52,20.53,60.01,92,65,1.99,PL,1592975681
494,great bend,38.36,-98.76,72.0,77,1,4.7,US,1592975681
495,marsh harbour,26.54,-77.06,81.66,80,63,7.34,BS,1592975681
496,buala,-8.14,159.59,85.39,62,5,6.08,SB,1592975487
497,asyut,27.18,31.18,77.0,38,0,6.93,EG,1592975367
498,pangnirtung,66.15,-65.71,42.98,84,100,0.94,CA,1592975441
499,portland,45.52,-122.68,79.0,50,75,6.93,US,1592975659
500,bogatyye saby,56.01,50.45,58.86,84,85,8.52,RU,1592975681
501,najran,17.49,44.13,77.0,27,100,5.17,SA,1592975681
502,tateyama,34.98,139.87,78.01,83,40,12.75,JP,1592975455
503,sovetskiy,61.36,63.58,59.5,39,65,4.83,RU,1592975681
504,leatherhead,51.3,-0.33,62.01,87,89,3.36,GB,1592975681
505,tay ninh,11.3,106.1,90.48,61,100,4.9,VN,1592975397
506,alexandria,31.22,29.96,75.2,78,40,3.36,EG,1592975431
507,outjo,-20.12,16.15,47.79,49,0,10.29,NA,1592975681
508,tual,-5.67,132.75,80.83,80,18,19.62,ID,1592975682
509,partapur,23.6,74.17,92.64,51,94,10.31,IN,1592975682
510,quatre cocos,-20.21,57.76,75.2,73,40,12.75,MU,1592975682
511,pisco,-13.7,-76.22,62.6,88,90,2.24,PE,1592975495
512,bubaque,11.28,-15.83,81.43,81,19,4.79,GW,1592975682
513,chernyshevskiy,63.01,112.47,69.15,58,84,9.73,RU,1592975450
514,along,28.17,94.77,80.22,84,99,1.41,IN,1592975682
515,porto nacional,-10.71,-48.42,73.4,83,65,1.77,BR,1592975682
516,beaver falls,40.75,-80.32,62.01,82,1,5.82,US,1592975682
517,aksu,41.12,80.26,89.89,15,79,9.22,CN,1592975343
518,unai,-16.36,-46.91,63.25,75,5,2.01,BR,1592975682
519,hofn,64.25,-15.21,50.5,91,100,17.4,IS,1592975460
